Rank	Program Name	Awarded
#1	Nursing	502,306
#2	Liberal Arts	358,565
#3	Business Administration	345,420
#4	General Studies	126,381
#5	Psychology	125,892
#6	Biology	87,831
#7	Communications	81,088
#8	Accounting	77,713
#9	Medical Assistant	60,317
#10	Social Work	56,371
#11	Cosmetology	52,002
#12	Mechanical Engineering	47,168
#13	Finance	46,730
#14	Computer Science	46,581
#15	Criminal Justice	45,720
#16	Licensed Practical Nurse (LPN)	45,607
#17	Advertising and Marketing	45,339
#18	Welding	45,129
#19	Nursing Assistant	43,162
#20	Political Science	40,521
#21	Bookkeeping	40,438
#22	English	40,214
#23	Elementary Education	39,239
#24	Auto Mechanic	35,890
#25	Law	34,720
#26	Sociology	34,466
#27	Educational Leadership and Administration	31,569
#28	Sports Management	31,338
#29	Early Childhood Education	30,859
#30	Kinesiology And Exercise Science	30,575
#31	Electrical Engineering	30,531
#32	Economics	30,457
#33	Education	30,423
#34	EMT and Paramedic	28,855
#35	History	28,827
#36	Law and Justice Administration	27,832
#37	Math	26,934
#38	Healthcare Administration	26,485
#39	Information Technology	26,109
#40	Esthetician	23,657
#41	Civil Engineering	21,159
#42	Chemistry	20,389
#43	Heating and Air Conditioning (HVAC)	19,885
#44	Special Education	19,775
#45	Public Health	19,757
#46	Medicine	19,720
#47	Social Science	19,377
#48	Counseling Psychology	19,208
#49	Curriculum and Instruction	18,739
#50	Electrician	17,517
#51	Information Science	17,466
#52	Dental Assistant	17,412
#53	Public Administration	17,301
#54	Bus and Truck Driver	17,020
#55	Human Resources	16,954
#56	Pharmacy	15,993
#57	Family Practice Nurse	15,522
#58	Chemical Engineering	14,118
#59	Sports Medicine	14,088
#60	Computer Networking	14,020
#61	Human Services	13,629
#62	International Relations	13,047
#63	Physical Therapy	12,865
#64	Journalism	12,648
#65	Organizational Leadership	12,490
#66	Physics	12,401
#67	Culinary Arts	12,204
#68	Guidance Counselor	12,140
#69	Information Systems	12,121
#70	Biomedical Engineering	11,888
#71	Massage Therapy	11,727
#72	Fine Arts and Studio Arts	11,372
#73	Music	11,113
#74	Drama and Theatre Arts	11,109
#75	Ultrasound Technician	11,092
#76	Radiology Technician	10,782
#77	CAD	10,694
#78	Management Science	10,654
#79	Anthropology	10,564
#80	Physician Assistant	10,193
#81	Nail Technician	10,042
#82	Paralegal	9,952
#83	Biochemistry	9,741
#84	Family Studies	9,681
#85	Engineering	9,631
#86	Diesel Mechanic	9,504
#87	Industrial Engineering	9,400
#88	Veterinary Assistant	9,272
#89	Criminology	9,248
#90	International Business	9,167
#91	Biomedical Science	9,141
#92	Occupational Therapy	9,138
#93	Secondary Education	9,118
#94	Nursing Administration	9,069
#95	Logistics and Supply Chain Management	9,068
#96	Medical Insurance Coding	8,933
#97	Medical Executive Assistant	8,765
#98	Health Information and Medical Records Technology	8,662
#99	Environmental Science	8,635
#100	Administrative Assistant	8,617
#101	Physical Education	8,569
#102	Graphic Design	8,494
