Institution,Control,City,State
Arizona State University,Public,Tempe,AZ
Auburn University,Public,Auburn,AL
Baylor University,Private (non-profit),Waco,TX
Binghamton University,Public,Vestal,NY
Boston College,Private (non-profit),Chestnut Hill,MA
Boston University,Private (non-profit),Boston,MA
Brandeis University,Private (non-profit),Waltham,MA
Brown University,Private (non-profit),Providence,RI
California Institute of Technology,Private (non-profit),Pasadena,CA
Carnegie Mellon University,Private (non-profit),Pittsburgh,PA
Case Western Reserve University,Private (non-profit),Cleveland,OH
Clemson University,Public,Clemson,SC
Colorado School of Mines,Public,Golden,CO
Colorado State University,Public,Fort Collins,CO
Columbia University,Private (non-profit),New York City,NY
Cornell University,Private (non-profit),Ithaca,NY
Dartmouth College,Private (non-profit),Hanover,NH
Drexel University,Private (non-profit),Philadelphia,PA
Duke University,Private (non-profit),Durham,NC
Emory University,Private (non-profit),Atlanta,GA
Florida International University,Public,Miami,FL
Florida State University,Public,Tallahassee,FL
George Mason University,Public,Fairfax,VA
George Washington University,Private (non-profit),"Washington, D.C.",DC
Georgetown University,Private (non-profit),"Washington, D.C.",DC
Georgia Institute of Technology,Public,Atlanta,GA
Georgia State University,Public,Atlanta,GA
"Graduate Center, CUNY",Public,New York City,NY
Harvard University,Private (non-profit),Cambridge,MA
Indiana University Bloomington,Public,Bloomington,IN
Iowa State University,Public,Ames,IA
Johns Hopkins University,Private (non-profit),Baltimore,MD
Kansas State University,Public,Manhattan,KS
Kent State University,Public,Kent,OH
Louisiana State University,Public,Baton Rouge,LA
Massachusetts Institute of Technology,Private (non-profit),Cambridge,MA
Michigan State University,Public,East Lansing,MI
Mississippi State University,Public,Mississippi State,MS
Montana State University,Public,Bozeman,MT
New Jersey Institute of Technology,Public,Newark,NJ
New York University,Private (non-profit),New York City,NY
North Carolina State University,Public,Raleigh,NC
North Dakota State University,Public,Fargo,ND
Northeastern University,Private (non-profit),Boston,MA
Northwestern University,Private (non-profit),Evanston,IL
Ohio State University,Public,Columbus,OH
Ohio University,Public,Athens,OH
Oklahoma State University–Stillwater,Public,Stillwater,OK
Old Dominion University,Public,Norfolk,VA
Oregon State University,Public,Corvallis,OR
Pennsylvania State University,Public,University Park,PA
Princeton University,Private (non-profit),Princeton,NJ
Purdue University,Public,West Lafayette,IN
Rensselaer Polytechnic Institute,Private (non-profit),Troy,NY
Rice University,Private (non-profit),Houston,TX
Rutgers University–New Brunswick,Public,New Brunswick,NJ
