Institution,Control,City,State
Air Force Institute of Technology Graduate School of Engineering & Management,Public,Wright-Patterson AFB,OH
American University,Private (non-profit),Washington,DC
Arizona State University Digital Immersion,Public,Scottsdale,AZ
Arkansas State University,Public,Jonesboro,AR
Augusta University,Public,Augusta,GA
Azusa Pacific University,Private (non-profit),Azusa,CA
Ball State University,Public,Muncie,IN
Boise State University,Public,Boise,ID
Bowling Green State University,Public,Bowling Green,OH
Brigham Young University,Private (non-profit),Provo,UT
"California State University, East Bay",Public,Hayward,CA
"California State University, Fresno",Public,Fresno,CA
"California State University, Fullerton",Public,Fullerton,CA
"California State University, Long Beach",Public,Long Beach,CA
"California State University, San Bernardino",Public,San Bernardino,CA
Catholic University of America,Private (non-profit),Washington,DC
Central Michigan University,Public,Mount Pleasant,MI
Chapman University,Private (non-profit),Orange,CA
Claremont Graduate University,Private (non-profit),Claremont,CA
Clark Atlanta University,Private (non-profit),Atlanta,GA
Clark University,Private (non-profit),Worcester,MA
Clarkson University,Private (non-profit),Potsdam,NY
Cleveland State University,Public,Cleveland,OH
College of William & Mary,Public,Williamsburg,VA
Creighton University,Private (non-profit),Omaha,NE
CUNY City College,Public,New York,NY
DePaul University,Private (non-profit),Chicago,IL
Duquesne University,Private (non-profit),Pittsburgh,PA
East Carolina University,Public,Greenville,NC
East Tennessee State University,Public,Johnson City,TN
Eastern Michigan University,Public,Ypsilanti,MI
Florida Agricultural and Mechanical University,Public,Tallahassee,FL
Florida Atlantic University,Public,Boca Raton,FL
Florida Institute of Technology,Private (non-profit),Melbourne,FL
Fordham University,Private (non-profit),Bronx,NY
Georgia Southern University,Public,Statesboro,GA
Howard University,Private (non-profit),Washington,DC
Idaho State University,Public,Pocatello,ID
Illinois Institute of Technology,Private (non-profit),Chicago,IL
Illinois State University,Public,Normal,IL
Indiana University–Purdue University Indianapolis,Public,Indianapolis,IN
Indiana University of Pennsylvania,Public,Indiana,PA
Jackson State University,Public,Jackson,MS
James Madison University,Public,Harrisonburg,VA
Kennesaw State University,Public,Kennesaw,GA
Lehigh University,Private (non-profit),Bethlehem,PA
Loma Linda University,Private (non-profit),Loma Linda,CA
Long Island University,Private (non-profit),Brookville,NY
Louisiana Tech University,Public,Ruston,LA
Loyola Marymount University,Private (non-profit),Los Angeles,CA
Loyola University Chicago,Private (non-profit),Chicago,IL
Marquette University,Private (non-profit),Milwaukee,WI
Marshall University,Public,Huntington,WV
Mercer University,Private (non-profit),Macon,GA
Miami University,Public,Oxford,OH
Michigan Technological University,Public,Houghton,MI
Middle Tennessee State University,Public,Murfreesboro,TN
Missouri University of Science and Technology,Public,Rolla,MO
Montclair State University,Public,Montclair,NJ
Morgan State University,Public,Baltimore,MD
New Mexico State University,Public,Las Cruces,NM
North Carolina A&T State University,Public,Greensboro,NC
Northern Arizona University,Public,Flagstaff,AZ
Northern Illinois University,Public,DeKalb,IL
