,epoch_of_task_vector_12_alpha_0.16,epoch_of_task_vector_12_alpha_0.18,epoch_of_task_vector_12_alpha_0.2,epoch_of_task_vector_12_alpha_0.22,epoch_of_task_vector_12_alpha_0.24,epoch_of_task_vector_12_alpha_0.4,epoch_of_task_vector_12_alpha_0.6,epoch_of_task_vector_12_alpha_0.8,epoch_of_task_vector_12_alpha_1.0,epoch_of_task_vector_14_alpha_0.16,epoch_of_task_vector_14_alpha_0.18,epoch_of_task_vector_14_alpha_0.2,epoch_of_task_vector_14_alpha_0.22,epoch_of_task_vector_14_alpha_0.24,epoch_of_task_vector_14_alpha_0.4,epoch_of_task_vector_14_alpha_0.6,epoch_of_task_vector_14_alpha_0.8,epoch_of_task_vector_14_alpha_1.0,epoch_of_task_vector_16_alpha_0.16,epoch_of_task_vector_16_alpha_0.18,epoch_of_task_vector_16_alpha_0.2,epoch_of_task_vector_16_alpha_0.22,epoch_of_task_vector_16_alpha_0.24,epoch_of_task_vector_16_alpha_0.4,epoch_of_task_vector_16_alpha_0.6,epoch_of_task_vector_16_alpha_0.8,epoch_of_task_vector_16_alpha_1.0,epoch_of_task_vector_18_alpha_0.16,epoch_of_task_vector_18_alpha_0.18,epoch_of_task_vector_18_alpha_0.2,epoch_of_task_vector_18_alpha_0.22,epoch_of_task_vector_18_alpha_0.24,epoch_of_task_vector_18_alpha_0.4,epoch_of_task_vector_18_alpha_0.6,epoch_of_task_vector_18_alpha_0.8,epoch_of_task_vector_18_alpha_1.0
0,2.483,2.475,2.475,2.475,2.475,2.458,2.3,1.575,0.075,2.508,2.475,2.458,2.458,2.467,2.467,2.25,1.825,0.0,2.5,2.483,2.492,2.483,2.492,2.458,2.308,1.958,0.008,2.517,2.5,2.475,2.483,2.5,2.492,2.3,1.883,0.008
1,13.092,12.3,11.483,10.808,10.042,5.15,2.525,1.55,0.35,12.783,11.833,11.075,10.275,9.5,4.325,2.425,1.767,0.092,12.7,11.658,10.917,10.125,9.433,4.183,2.358,1.758,0.158,12.625,11.7,10.917,10.175,9.442,4.258,2.392,1.817,0.175
2,36.292,35.6,34.733,33.733,32.65,18.9,5.475,1.658,0.425,35.483,34.483,33.375,32.117,30.883,16.45,4.742,1.725,0.483,35.5,34.492,33.325,31.992,30.608,16.258,4.733,1.792,0.4,35.492,34.475,33.242,31.875,30.617,16.225,4.65,1.825,0.442
3,81.55,79.15,75.875,72.192,68.3,32.433,8.425,2.075,0.675,75.875,72.208,68.175,63.992,59.308,26.217,6.625,1.725,0.683,75.775,72.075,67.967,63.75,59.125,25.975,6.383,1.75,0.625,75.625,71.975,67.858,63.492,58.942,25.85,6.442,1.792,0.65
4,95.783,93.242,89.95,85.842,80.7,36.725,9.392,2.233,0.758,87.717,83.667,78.908,74.125,68.708,29.767,7.425,1.817,0.683,87.625,83.392,78.758,73.375,68.217,29.575,7.308,1.717,0.625,87.592,83.358,78.65,73.3,67.967,29.217,7.175,1.717,0.642
5,97.842,95.642,92.333,88.125,82.875,36.95,9.508,2.225,0.8,89.958,86.058,80.808,75.783,70.242,29.892,7.442,1.8,0.717,89.9,85.542,80.767,75.15,69.625,29.658,7.267,1.717,0.675,89.917,85.6,80.583,74.908,69.367,29.392,7.225,1.75,0.692
6,96.35,93.55,90.375,85.967,80.617,36.558,9.475,2.308,0.85,87.017,82.808,77.817,72.542,66.867,28.192,7.183,1.792,0.675,86.642,82.075,77.183,71.858,66.408,27.983,6.992,1.725,0.633,86.575,82.0,77.2,71.783,66.292,27.633,7.025,1.758,0.625
7,91.45,88.725,85.417,81.792,77.25,41.008,14.0,4.925,1.942,95.4,93.558,91.017,87.842,84.158,44.2,12.092,2.583,0.85,91.742,89.383,86.883,83.475,79.525,41.608,11.175,2.45,0.642,91.433,89.167,86.608,83.167,79.225,41.133,10.992,2.408,0.683
8,97.4,95.392,92.633,88.717,84.075,44.483,15.142,5.208,2.042,98.083,96.667,94.35,90.767,86.592,44.7,12.417,2.942,1.058,98.617,97.3,95.4,92.2,88.283,46.1,12.425,2.667,0.85,98.283,96.85,94.783,91.417,87.375,45.3,12.233,2.625,0.85
9,98.767,97.358,94.933,91.383,86.8,45.958,15.4,5.225,2.058,99.1,97.933,96.15,93.292,89.217,46.35,12.892,2.917,1.017,99.292,98.333,96.733,94.05,90.367,47.2,12.683,2.642,0.858,99.275,98.242,96.65,93.85,89.95,47.008,12.608,2.667,0.85
10,99.1,97.683,95.833,92.542,88.217,46.775,15.633,5.25,2.008,99.375,98.208,96.675,94.142,90.442,47.3,13.108,2.833,1.033,99.508,98.658,97.142,94.825,91.367,48.1,12.892,2.65,0.842,99.467,98.6,97.092,94.692,90.992,47.833,12.725,2.692,0.867
11,99.3,98.15,96.467,93.55,89.392,47.508,15.8,5.283,2.025,99.492,98.625,97.042,94.783,91.208,47.9,13.283,2.883,1.042,99.608,98.883,97.575,95.408,92.25,48.758,12.967,2.633,0.858,99.583,98.85,97.55,95.3,92.092,48.533,12.833,2.675,0.867
12,99.417,98.475,96.767,94.375,90.392,48.442,16.017,5.308,2.042,99.575,98.917,97.467,95.408,92.033,48.617,13.45,2.892,1.058,99.658,99.108,97.825,95.833,93.092,49.583,13.142,2.667,0.9,99.65,99.042,97.875,95.767,92.833,49.258,13.083,2.717,0.875
