,epoch_of_task_vector_12_alpha_0.2,epoch_of_task_vector_12_alpha_1.0,epoch_of_task_vector_14_alpha_0.2,epoch_of_task_vector_14_alpha_1.0,epoch_of_task_vector_16_alpha_0.2,epoch_of_task_vector_16_alpha_1.0,epoch_of_task_vector_18_alpha_0.2,epoch_of_task_vector_18_alpha_1.0
0,99.67,88.751,99.647,82.452,99.649,82.046,99.621,82.135
1,99.301,93.657,99.222,88.255,99.235,88.082,99.281,88.088
2,97.742,97.989,97.673,94.605,97.72,94.536,97.71,94.592
3,93.524,99.459,93.313,97.707,93.413,97.736,93.37,97.787
4,92.517,99.588,92.238,98.058,92.295,98.11,92.309,98.083
5,92.475,99.652,92.239,98.106,92.248,98.102,92.307,98.14
6,92.265,99.735,91.96,98.181,92.041,98.201,91.995,98.221
7,85.61,98.364,88.079,99.684,87.947,99.596,87.929,99.579
8,85.097,98.367,87.475,99.586,87.851,99.634,87.816,99.749
9,85.126,98.375,87.531,99.632,87.819,99.746,87.859,99.678
10,85.154,98.385,87.542,99.589,87.782,99.684,87.775,99.696
11,85.153,98.401,87.485,99.627,87.777,99.674,87.856,99.668
12,85.199,98.399,87.464,99.588,87.708,99.638,87.868,99.626
